District,Season,Crop,Area (ha),Production (tonnes),Yield,Yield Unit,Source
Rawalpindi,2021-22,bajra,3238.0,2713.0,0.8379,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rawalpindi,2022-23,bajra,613.0,554.0,0.9038,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sahiwal,2017-18,bajra,1300.0,1400.0,1.0769,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sahiwal,2018-19,bajra,2100.0,3000.0,1.4286,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sahiwal,2019-20,bajra,1420.0,2700.0,1.9014,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sahiwal,2020-21,bajra,677.0,1413.0,2.0871,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sargodha,2017-18,bajra,24200.0,12100.0,0.5,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sargodha,2018-19,bajra,25200.0,13400.0,0.5317,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sargodha,2019-20,bajra,25780.0,14100.0,0.5469,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sargodha,2020-21,bajra,20348.0,13576.0,0.6672,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sheikhupura,2017-18,bajra,3100.0,2500.0,0.8065,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sheikhupura,2018-19,bajra,2600.0,2000.0,0.7692,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sheikhupura,2019-20,bajra,630.0,500.0,0.7937,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sheikhupura,2020-21,bajra,298.0,285.0,0.9564,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sialkot,2017-18,bajra,2100.0,1000.0,0.4762,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sialkot,2018-19,bajra,1900.0,900.0,0.4737,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sialkot,2019-20,bajra,2220.0,1200.0,0.5405,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Sialkot,2020-21,bajra,1093.0,713.0,0.6523,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Toba Tek Singh,2017-18,bajra,4500.0,9100.0,2.0222,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Toba Tek Singh,2018-19,bajra,5500.0,11100.0,2.0182,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Toba Tek Singh,2019-20,bajra,6360.0,12700.0,1.9969,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Toba Tek Singh,2020-21,bajra,5998.0,12314.0,2.053,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Toba Tek Singh,2021-22,bajra,4475.0,8909.0,1.9908,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Toba Tek Singh,2022-23,bajra,8484.0,14039.0,1.6548,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Toba Tek Singh,2023-24,bajra,5922.0,9512.0,1.6062,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Toba Tek Singh,2024-25,bajra,3948.0,4691.0,1.1882,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Vehari,2017-18,bajra,3000.0,3200.0,1.0667,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Vehari,2018-19,bajra,4500.0,4600.0,1.0222,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Vehari,2019-20,bajra,4050.0,3900.0,0.963,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Vehari,2020-21,bajra,48.0,53.0,1.1042,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Vehari,2021-22,bajra,157.0,378.0,2.4076,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Vehari,2022-23,bajra,512.0,1192.0,2.3281,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Vehari,2023-24,bajra,244.0,628.0,2.5738,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Vehari,2024-25,bajra,206.0,449.0,2.1796,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Attock,2017-18,barley,1880.0,989.0,0.5261,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Attock,2018-19,barley,2196.0,1196.0,0.5446,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Attock,2019-20,barley,382.0,320.0,0.8377,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Attock,2020-21,barley,578.0,334.0,0.5779,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Attock,2021-22,barley,520.0,218.0,0.4192,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Attock,2022-23,barley,140.0,44.0,0.3143,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Attock,2023-24,barley,284.0,177.0,0.6232,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Attock,2024-25,barley,219.0,180.0,0.8219,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bahawalnagar,2017-18,barley,613.0,478.0,0.7798,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Bahawalnagar,2018-19,barley,779.0,615.0,0.7895,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
